INPUT-#Scan#	INPUT-SpectrumID	INPUT-Compound_Name	INPUT-InChIKey-Planar	Tag_Status1	Action1	Add_InCHIKey-Planar	Cannot_Add_InChIKey-Planar	Tag_Status2	Action2	Add_Tag1	Add_Tag2	Add_Tag3	Contribute-NCBITaxonomy1	Contribute-NCBITaxonomy2	Contribute-NCBITaxonomy3	Contribute-UBERONTag1	Contribute-UBERONTag2	Contribute-UBERONTag3	Contribute-LifestyleTag1	Contribute-LifestyleTag2	Contribute-LifestyleTag3	Current_Tags	Current_NCBITaxonomy	Current_UBERON	Current_Lifestyle
338329	CCMSLIB00003173912	2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Tags Missing	Add Tags																				
314750	CCMSLIB00003268524	2-Linoleoyl-1-palmitoyl-sn-glycero-3-phosphoethanolamine	HBZNVZIRJWODIB	Tags Missing	Add Tags																				
342458	CCMSLIB00003106515	PC(17:1/20:4); [M+H]+ C45H81N1O8P1	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
4437	CCMSLIB00000223224	Massbank:PR100400 D-Pantothenic acid|Vitamin B5|(R)-Pantothenate|(R)-(+)-N-(2,4-Dihydroxy-3,3-dimethyl-1-oxobutyl)-beta-alanine|D-(+)-Pantothenic acid	GHOKWGTUZJEAQD	Tags Present	Check Current Tags and Add if Incomplete																	food|vitamin|naturalproduct_plant			
175421	CCMSLIB00003648081	Fenpyroximate	YYJNOYZRYGDPNH	Tags Present	Check Current Tags and Add if Incomplete																	biocide_insecticide|environmental			
363825	CCMSLIB00000848642	NCGC00385260-01![(2S,3R,4S,5R,6R)-2-[3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-2-(4-hydroxyphenyl)-4-oxochromen-7-yl]oxy-5-hydroxy-6-(hydroxymethyl)-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl] (E)-3-(4-hydroxyphenyl)prop-2-enoate	OUYDFTJZSVOQJE	Tags Missing	Add Tags																				
321192	CCMSLIB00003377022	1,2-Dilinolenoyl-sn-glycero-3-phosphoethanolamine	WIHSZOXPODIZSW	Tags Missing	Add Tags																				
17486	CCMSLIB00000847639	NCGC00095569-05!4,9-dimethoxyfuro[3,2-g]chromen-7-one	DFMAXQKDIGCMTL	Tags Present	Check Current Tags and Add if Incomplete																	food			
27723	CCMSLIB00003256607	9(10)-Epoxy-12Z-octadecenoic acid	FBUKMFOXMZRGRB	Tags Present	Check Current Tags and Add if Incomplete																	human|mice			
314932	CCMSLIB00003703747	2-Linoleoyl-1-palmitoyl-sn-glycero-3-phosphoethanolamine	HBZNVZIRJWODIB	Tags Missing	Add Tags																				
322767	CCMSLIB00003266397	2-Arachidonoyl-1-palmitoyl-sn-glycero-3-phosphoethanolamine	DRIVXEVMDWCWLI	Tags Missing	Add Tags																				
43197	CCMSLIB00003135615	Spectral Match to 9-Oxo-10E,12Z-octadecadienoic acid from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	LUZSWWYKKLTDHU		Tags Present	Check Current Tags and Add if Incomplete													human|mice		blood plasma	
347338	CCMSLIB00004706503	3-[(2S,3R,4S,5S,6R)-3-[(2S,3R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-6-methoxychromen-4-one	NVYWCFHFPXGDKS	Tags Missing	Add Tags																				
338444	CCMSLIB00005436352	(2-{[3-(hexadecanoyloxy)-2-[icosa-5,8,11,14-tetraenoyloxy]propyl phosphonato]oxy}ethyl)trimethylazanium	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
329562	CCMSLIB00003136067	Spectral Match to 1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
225877	CCMSLIB00003140187	Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
5710	CCMSLIB00003482155	Biotin N-hydroxysuccinimide ester	YMXHPSHLTSZXKH	Tags Missing	Add Tags																				
337486	CCMSLIB00003138768	Spectral Match to 1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	XXKFQTJOJZELMD		Tags Missing	Add Tags																
34231	CCMSLIB00003344490	Piperine	MXXWOMGUGJBKIW	Tags Present	Check Current Tags and Add if Incomplete																	food|plant			food consumption_spices
16513	CCMSLIB00003737284	Leu-Glu	NFNVDJGXRFEYTK	Tags Missing	Add Tags																				
110940	CCMSLIB00003565702	DL-Laudanosine	KGPAYJZAMGEDIQ	Tags Present	Check Current Tags and Add if Incomplete																	drug			
179180	CCMSLIB00005435761	Citreoviridin putative annotated in Paecelomyces	JLSVDPQAIKFBTO	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct_fungal			
323346	CCMSLIB00003268551	1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine	FHQVHHIBKUMWTI	Tags Missing	Add Tags																				
106011	CCMSLIB00003137660	Spectral Match to Monolinolenin (9c,12c,15c) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
29391	CCMSLIB00003136620	Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2	GKJZMAHZJGSBKD		Tags Present	Check Current Tags and Add if Incomplete													naturalproduct|food			
